(Source Node)	(Connected Node)	(Weight)
    0	                1	            9
    0	                2	            6
    0	                3	            5
    0	                4	            3
    1	                4	            7
    1	                5	            4
    2	                1	            2
    2	                3	            4
    3                   4	            2
    5                   6	            2
    6                   3	            5
    6                   0	            8
